id,employmentStatus,currentEmployer,positionTitle,grossAnnualIncome,unemploymentPeriod,receivesFinancialAssistance,assistanceExplanation,receivesSocialSecurity,numberOfPeopleInHousehold
786,0,NULL,NULL,NULL,Less than 6 months,1,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,1,10
787,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,4
788,1,Twimm,Sales Representative,27963,NULL,0,NULL,0,9
789,1,Jabbersphere,Senior Sales Associate,21154,NULL,0,NULL,0,2
790,0,NULL,NULL,NULL,Less than 6 months,1,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,0,2
791,1,Roodel,Quality Control Specialist,16500,NULL,1,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,1,5
792,0,NULL,NULL,NULL,More than 6 months,1,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,1,9
793,0,NULL,NULL,NULL,More than 1 year,1,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,1,7
794,1,Thoughtmix,Staff Accountant IV,00962,NULL,1,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,0,2
795,0,NULL,NULL,NULL,Less than 6 months,1,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,0,7
796,0,NULL,NULL,NULL,More than 6 months,1,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,0,7
797,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,1
798,1,Vipe,Recruiter,20683,NULL,0,NULL,0,1
799,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,1
800,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,5
801,0,NULL,NULL,NULL,More than 6 months,1,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,0,3
802,1,Edgeify,Biostatistician III,65305,NULL,0,NULL,0,2
803,1,Quatz,Assistant Media Planner,56401,NULL,0,NULL,1,7
804,1,Rhyloo,Assistant Professor,57410,NULL,1,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,0,5
805,1,Oyondu,Civil Engineer,59493,NULL,0,NULL,1,2
806,1,Realblab,Marketing Manager,57404,NULL,0,NULL,1,8
807,0,NULL,NULL,NULL,Less than 6 months,1,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,0,1
808,1,Tagopia,Help Desk Technician,37028,NULL,1,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,1,4
809,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,3
810,1,Mydeo,Human Resources Manager,69778,NULL,0,NULL,0,2
811,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,3
812,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,1
813,1,Mynte,Senior Financial Analyst,11642,NULL,0,NULL,1,4
814,0,NULL,NULL,NULL,More than 1 year,1,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,1,3
815,1,Vipe,Librarian,31066,NULL,0,NULL,1,1
816,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,7
817,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,6
818,1,Aimbu,Quality Control Specialist,65099,NULL,1,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,1,2
819,0,NULL,NULL,NULL,More than 1 year,1,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent,1,6
820,1,Devshare,Research Associate,59788,NULL,1,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,0,1
821,0,NULL,NULL,NULL,More than 6 months,1,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate,1,7
822,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,5
823,1,Quimba,Environmental Specialist,28518,NULL,0,NULL,1,3
824,0,NULL,NULL,NULL,Less than 6 months,1,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,0,6
825,1,Photobean,Assistant Professor,75967,NULL,0,NULL,0,9
826,1,Cogilith,Professor,10633,NULL,1,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,0,9
827,1,Trilith,Clinical Specialist,22222,NULL,1,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,0,2
828,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,8
829,0,NULL,NULL,NULL,Less than 6 months,1,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,1,3
830,1,Feedfire,Speech Pathologist,78809,NULL,1,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,0,5
831,1,Dabshots,Accountant I,96028,NULL,0,NULL,0,2
832,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,1
833,0,NULL,NULL,NULL,More than 6 months,1,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,0,7
834,1,Kayveo,Computer Systems Analyst II,99532,NULL,1,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,1,5
835,1,Twitterwire,Research Assistant I,45938,NULL,0,NULL,0,2
836,1,Yombu,Financial Advisor,52911,NULL,0,NULL,0,8
837,1,Skyndu,Office Assistant IV,33533,NULL,1,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,1,7
838,1,Lazz,Paralegal,13157,NULL,1,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,0,5
839,1,Zooxo,Help Desk Technician,53227,NULL,0,NULL,1,4
840,0,NULL,NULL,NULL,Less than 6 months,1,non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,0,9
841,1,Myworks,Marketing Assistant,07422,NULL,0,NULL,1,6
842,0,NULL,NULL,NULL,More than 6 months,1,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,0,10
843,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,1
844,0,NULL,NULL,NULL,More than 1 year,1,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,0,7
845,1,Livetube,Registered Nurse,87802,NULL,0,NULL,0,3
846,0,NULL,NULL,NULL,More than 1 year,1,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,0,9
847,1,Ntags,Help Desk Operator,60777,NULL,0,NULL,0,10
848,1,Twitterbeat,Desktop Support Technician,63958,NULL,0,NULL,1,4
849,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,10
850,1,Tekfly,Payment Adjustment Coordinator,56086,NULL,1,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,1,4
851,0,NULL,NULL,NULL,Less than 6 months,1,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,0,4
852,0,NULL,NULL,NULL,More than 1 year,1,mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,1,10
853,0,NULL,NULL,NULL,More than 6 months,1,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,1,1
854,0,NULL,NULL,NULL,More than 1 year,1,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,1,8
855,1,Feednation,Account Executive,47465,NULL,0,NULL,0,3
856,1,Flashdog,Health Coach II,85555,NULL,1,quam nec dui luctus rutrum nulla tellus in sagittis dui vel,0,5
857,1,Meevee,Legal Assistant,19416,NULL,1,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,0,3
858,0,NULL,NULL,NULL,More than 6 months,1,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,0,5
859,1,Edgeblab,Paralegal,12737,NULL,1,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,1,7
860,0,NULL,NULL,NULL,More than 1 year,1,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,0,7
861,1,Skyble,Teacher,37152,NULL,0,NULL,1,3
862,1,Riffwire,Biostatistician II,61774,NULL,1,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,0,9
863,1,Topicstorm,Help Desk Operator,28161,NULL,0,NULL,1,7
864,0,NULL,NULL,NULL,More than 6 months,1,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,0,5
865,1,Skajo,Librarian,94817,NULL,0,NULL,0,9
866,1,Babbleset,General Manager,16101,NULL,1,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,1,3
867,1,Tagcat,Budget/Accounting Analyst IV,14517,NULL,1,massa id lobortis convallis tortor risus dapibus augue vel accumsan,1,3
868,1,Janyx,Actuary,11652,NULL,1,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,1,5
869,1,Jabberbean,Information Systems Manager,15871,NULL,1,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,1,4
870,0,NULL,NULL,NULL,Less than 6 months,1,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,0,1
871,1,Devcast,Cost Accountant,94449,NULL,1,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,1,2
872,1,Skilith,Human Resources Assistant IV,02817,NULL,0,NULL,0,3
873,1,Jaxbean,Electrical Engineer,68783,NULL,1,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,0,5
874,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,6
875,0,NULL,NULL,NULL,More than 6 months,1,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida,0,9
876,0,NULL,NULL,NULL,More than 6 months,1,libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,1,6
877,0,NULL,NULL,NULL,Less than 6 months,1,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,1,6
878,1,Dablist,Senior Editor,47296,NULL,0,NULL,0,8
879,0,NULL,NULL,NULL,Less than 6 months,1,tristique est et tempus semper est quam pharetra magna ac consequat metus,1,6
880,1,Skivee,Marketing Assistant,86155,NULL,0,NULL,1,6
881,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,5
882,1,Meedoo,Community Outreach Specialist,21593,NULL,1,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,0,1
883,1,Rhycero,Systems Administrator IV,64718,NULL,1,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,0,10
884,0,NULL,NULL,NULL,Less than 6 months,1,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,1,5
885,0,NULL,NULL,NULL,Less than 6 months,1,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,1,10
886,1,Edgeblab,Payment Adjustment Coordinator,38328,NULL,1,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,0,6
887,1,Kwinu,Environmental Specialist,38467,NULL,0,NULL,0,3
888,1,Dynabox,Account Executive,60917,NULL,0,NULL,1,7
889,1,Youspan,Cost Accountant,82043,NULL,1,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,0,1
890,1,Shufflebeat,Physical Therapy Assistant,61209,NULL,0,NULL,0,6
891,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,2
892,1,Eayo,Teacher,29002,NULL,0,NULL,0,3
893,1,Centizu,Chemical Engineer,03077,NULL,0,NULL,1,10
894,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,5
895,1,Eadel,Actuary,74761,NULL,0,NULL,0,2
896,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,10
897,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,5
898,1,Blogspan,Software Engineer III,45362,NULL,1,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,0,10
899,1,Omba,Quality Engineer,30325,NULL,0,NULL,1,1
900,0,NULL,NULL,NULL,Less than 6 months,1,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,1,7
901,0,NULL,NULL,NULL,More than 1 year,1,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi,0,7
902,1,Oozz,Electrical Engineer,15827,NULL,0,NULL,0,3
903,0,NULL,NULL,NULL,More than 1 year,1,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum,1,8
904,1,Flipopia,Programmer Analyst II,34092,NULL,1,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,0,7
905,1,Rhynoodle,Software Consultant,23250,NULL,0,NULL,1,5
906,1,Roodel,Help Desk Technician,13826,NULL,0,NULL,1,2
907,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,8
908,1,Tagopia,Executive Secretary,31930,NULL,0,NULL,1,6
909,1,Rhynyx,Human Resources Manager,48051,NULL,0,NULL,0,2
910,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,8
911,1,Innojam,Director of Sales,23515,NULL,0,NULL,1,3
912,1,Skimia,VP Marketing,61378,NULL,1,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,0,8
913,0,NULL,NULL,NULL,More than 1 year,1,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,1,4
914,0,NULL,NULL,NULL,More than 1 year,1,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,1,6
915,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,3
916,0,NULL,NULL,NULL,Less than 6 months,1,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc,0,7
917,1,Zoombox,Media Manager III,02330,NULL,0,NULL,0,2
918,1,Jaxnation,Food Chemist,73949,NULL,1,at nulla suspendisse potenti cras in purus eu magna vulputate luctus,1,9
919,1,Quire,Graphic Designer,19445,NULL,0,NULL,1,2
920,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,7
921,1,Reallinks,Health Coach IV,47655,NULL,0,NULL,1,10
922,1,Gabtype,Help Desk Technician,30929,NULL,0,NULL,0,7
923,0,NULL,NULL,NULL,Less than 6 months,1,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat,0,9
924,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,5
925,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,2
926,1,Demimbu,Senior Quality Engineer,60954,NULL,1,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,0,10
927,1,Quinu,Senior Cost Accountant,28244,NULL,1,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,1,3
928,1,Quimba,Software Engineer II,03739,NULL,1,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,0,7
929,0,NULL,NULL,NULL,Less than 6 months,1,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,1,9
930,0,NULL,NULL,NULL,More than 1 year,0,NULL,1,5
931,1,Mudo,Systems Administrator IV,87991,NULL,1,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,0,6
932,1,Livetube,Human Resources Assistant I,33839,NULL,0,NULL,0,6
933,0,NULL,NULL,NULL,Less than 6 months,1,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo,0,10
934,1,Jaxspan,Systems Administrator I,49140,NULL,0,NULL,0,5
935,1,Fatz,Librarian,90423,NULL,1,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,1,9
936,1,Zoomlounge,Electrical Engineer,70653,NULL,1,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut,1,7
937,1,Tagchat,Software Engineer III,75002,NULL,1,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,1,10
938,1,Tavu,Developer I,46690,NULL,0,NULL,0,4
939,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,4
940,1,Browsetype,Software Consultant,18120,NULL,1,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,1,9
941,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,3
942,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,5
943,1,Vimbo,VP Marketing,06852,NULL,0,NULL,1,1
944,1,Edgewire,Product Engineer,82406,NULL,0,NULL,1,5
945,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,2
946,1,Dynava,Occupational Therapist,63423,NULL,1,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,0,5
947,1,Devbug,Computer Systems Analyst II,42452,NULL,0,NULL,1,1
948,0,NULL,NULL,NULL,Less than 6 months,1,rutrum nulla nunc purus phasellus in felis donec semper sapien,1,10
949,0,NULL,NULL,NULL,More than 6 months,1,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,1,5
950,1,Myworks,Actuary,26150,NULL,1,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,1,2
951,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,9
952,1,Jabberbean,Technical Writer,71584,NULL,0,NULL,1,5
953,1,Linkbuzz,Software Consultant,49005,NULL,0,NULL,1,4
954,1,Roombo,Nurse Practicioner,65136,NULL,0,NULL,1,8
955,1,Dabvine,Environmental Tech,94270,NULL,0,NULL,0,10
956,1,Wikido,Compensation Analyst,16916,NULL,1,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,0,9
957,0,NULL,NULL,NULL,More than 1 year,1,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,0,7
958,0,NULL,NULL,NULL,More than 1 year,1,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,0,7
959,1,Omba,Structural Analysis Engineer,20597,NULL,1,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,1,9
960,1,Ooba,Software Consultant,27273,NULL,0,NULL,0,5
961,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,4
962,1,Devify,Environmental Tech,21753,NULL,1,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,1,5
963,1,Quamba,Developer II,48415,NULL,1,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,0,9
964,1,Mynte,Assistant Manager,90938,NULL,0,NULL,0,7
965,1,Chatterbridge,Tax Accountant,26578,NULL,0,NULL,0,6
966,1,Topicstorm,Junior Executive,18607,NULL,1,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,0,5
967,0,NULL,NULL,NULL,More than 1 year,1,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere,0,2
968,0,NULL,NULL,NULL,More than 6 months,1,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,0,1
969,0,NULL,NULL,NULL,Less than 6 months,1,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,0,4
970,0,NULL,NULL,NULL,More than 6 months,0,NULL,1,7
971,0,NULL,NULL,NULL,Less than 6 months,0,NULL,1,4
972,0,NULL,NULL,NULL,More than 1 year,1,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,1,3
973,1,Youtags,Account Representative III,15019,NULL,0,NULL,1,9
974,1,Blogpad,Nurse Practicioner,78930,NULL,1,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,1,2
975,1,Twinder,Analog Circuit Design manager,57880,NULL,1,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,0,7
976,0,NULL,NULL,NULL,More than 1 year,1,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,0,7
977,1,Vinte,Software Engineer II,58039,NULL,0,NULL,0,8
978,1,Rhyzio,Information Systems Manager,06079,NULL,0,NULL,0,8
979,0,NULL,NULL,NULL,Less than 6 months,1,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,1,1
980,0,NULL,NULL,NULL,Less than 6 months,1,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,0,4
981,1,Abata,Computer Systems Analyst II,04549,NULL,1,sed vestibulum sit amet cursus id turpis integer aliquet massa,1,1
982,1,Meevee,Desktop Support Technician,70288,NULL,1,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac,0,9
983,1,Gabtune,GIS Technical Architect,00452,NULL,1,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,0,7
984,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,7
985,1,Riffwire,Media Manager IV,83478,NULL,0,NULL,0,10
986,1,Fanoodle,Senior Financial Analyst,90051,NULL,0,NULL,1,10
987,0,NULL,NULL,NULL,More than 6 months,1,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,0,4
988,1,Demizz,Project Manager,17297,NULL,0,NULL,0,3
989,1,Innojam,Help Desk Operator,62508,NULL,0,NULL,0,4
990,1,Livepath,Software Engineer II,11847,NULL,1,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,1,4
991,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,9
992,1,Oloo,Director of Sales,11406,NULL,1,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,0,8
993,1,Twitterbridge,Mechanical Systems Engineer,67532,NULL,1,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,1,6
994,1,Flipstorm,Payment Adjustment Coordinator,58011,NULL,0,NULL,1,5
995,1,Livefish,Design Engineer,36159,NULL,1,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,0,10
996,0,NULL,NULL,NULL,More than 6 months,0,NULL,0,2
997,0,NULL,NULL,NULL,More than 1 year,0,NULL,0,9
998,0,NULL,NULL,NULL,Less than 6 months,0,NULL,0,5
999,0,NULL,NULL,NULL,More than 6 months,1,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,1,5
1000,1,Plajo,Community Outreach Specialist,62628,NULL,0,NULL,1,1
